iteration,eliminated_feature_index,eliminated_feature,avg_cv_F1_score,ci_bound_be,std_dev_be,std_err_be
1,46,delta_bx1418bx58914_avg_val_electrons,0.7809207547125758,0.047546116961363426,0.06401681419373895,0.02133893806457965
2,96,avg_a12x914_mendeleev_number,0.7866091861997724,0.054522760157471734,0.07341027258160708,0.02447009086053569
3,44,delta_a12b14_avg_val_electrons,0.8575479744317068,0.03197858575815441,0.04305645368099926,0.014352151226999753
4,57,avg_a12b14_unp_electrons,0.849337941040514,0.028790920686860715,0.038764533002246346,0.012921511000748781
5,78,delta_a12b14_avg_electron_affinity,0.8604901162884339,0.028928443476850713,0.03894969577592455,0.012983231925308182
6,20,std_atomic_volume,0.8585018427504008,0.035220888827672825,0.0474219397906182,0.0158073132635394
7,39,max_val_electrons,0.8620147620362264,0.04079507161500218,0.05492710417803548,0.018309034726011825
8,11,delta_a12x18_avg_covalent_radius,0.8553478840685301,0.04428936166261454,0.05963186938312694,0.019877289794375644
9,12,delta_a12x914_avg_covalent_radius,0.8589463841667332,0.04449144203852327,0.05990395347124002,0.019967984490413336
10,5,delta_a12b58_avg_vdw_radius,0.8479306243838056,0.04215382254905644,0.05675654707768602,0.01891884902589534
11,88,delta_a12x914_avg_metallic_radius,0.8492619661817697,0.04130535595769618,0.055614158769239246,0.018538052923079747
12,23,delta_a1a2_atomic_volume,0.8578371688317954,0.03902118604060111,0.0525387176919284,0.017512905897309465
13,1,avg_a1a2_vdw_radius,0.8514821888947413,0.045991414144113445,0.06192353870166771,0.02064117956722257
14,31,delta_a1a2_dipole_polarizability,0.8455245438654092,0.03970606979344672,0.053460855581461124,0.017820285193820375
15,22,avg_a1a2_atomic_volume,0.8499807352226181,0.04285880970376609,0.05770575249289783,0.019235250830965944
16,4,delta_a12b14_avg_vdw_radius,0.8455245438654092,0.03970606979344672,0.053460855581461124,0.017820285193820375
17,89,delta_a1a2_metallic_radius,0.850048086661128,0.04854947078877748,0.06536774502984356,0.021789248343281185
18,55,delta_a12b14_avg_unp_electrons,0.8528661624431517,0.04358843619901246,0.058688132690527264,0.01956271089684242
19,64,delta_a12b58_avg_ion_energies,0.8528592580603247,0.041565306149825135,0.05596415965706503,0.018654719885688342
20,43,avg_b14x18_val_electrons,0.8559531323791054,0.04540383671037565,0.06113241551845189,0.02037747183948396
21,24,std_dipole_polarizability,0.8545289780253118,0.04199848016826183,0.056547391736234645,0.01884913057874488
22,13,delta_a12b14_avg_covalent_radius,0.8616041922041949,0.04054491468658452,0.05459028908924908,0.018196763029749694
23,66,min_no_electrons,0.8588348575199667,0.041177605880938085,0.05544215412512278,0.018480718041707592
24,25,max_dipole_polarizability,0.860556573156576,0.03964769045558064,0.053382252754063816,0.017794084251354605
25,48,avg_a12b14_val_electrons,0.8625827171545477,0.04616850034774061,0.062161970256511344,0.020720656752170444
26,65,delta_a1a2_ion_energies,0.859471138526797,0.04391356117458833,0.05912588589691629,0.019708628632305426
27,28,delta_a12x914_avg_dipole_polarizability,0.861926451300336,0.0410672603611526,0.05529358324092295,0.01843119441364098
28,67,avg_a1a2_no_electrons,0.8649569618834952,0.04412940534820903,0.059416501771367314,0.019805500590455768
29,30,delta_a12b58_avg_dipole_polarizability,0.861926451300336,0.0410672603611526,0.05529358324092295,0.01843119441364098
30,26,avg_a1a2_dipole_polarizability,0.8634131249971704,0.04142398791396484,0.05577388663740693,0.01859129554580231
31,83,avg_a12b14_electron_affinity,0.8605313998563091,0.045786628932178,0.061647812781236606,0.020549270927078866
32,71,delta_a12b58_avg_electronegativity,0.8616729651839657,0.044433329498847624,0.05982570986497948,0.01994190328832649
33,85,min_metallic_radius,0.8646957859845642,0.04031586719530904,0.05428189606732387,0.01809396535577462
34,69,avg_a1a2_electronegativity,0.8628020719531848,0.0386672844213478,0.05206221917531951,0.017354073058439834
35,80,delta_a1a2_electron_affinity,0.865170032826158,0.047043091966580665,0.06333953369884633,0.02111317789961544
36,52,std_unp_electrons,0.8661824596813986,0.04062331697309536,0.0546958511188888,0.01823195037296293
37,76,avg_a1a2_electron_affinity,0.8631550465223992,0.04007015530394807,0.05395106584395927,0.01798368861465309
38,19,avg_a1a2_atomic_radius,0.861926451300336,0.0410672603611526,0.05529358324092295,0.01843119441364098
39,68,std_electronegativity,0.8616041922041949,0.04054491468658452,0.05459028908924908,0.018196763029749694
40,37,avg_val_electrons,0.8634131249971704,0.04142398791396484,0.05577388663740693,0.01859129554580231
41,33,avg_a12x914_dipole_polarizability,0.8661824596813986,0.04062331697309536,0.0546958511188888,0.01823195037296293
42,18,max_diff_covalent_radius,0.8630908659010293,0.04091265777590559,0.05508542397143576,0.018361807990478585
43,45,delta_a12b58_avg_val_electrons,0.8606510823888402,0.04521906918287637,0.060883641712452745,0.020294547237484247
44,74,std_electron_affinity,0.8600327372689565,0.039376691474908826,0.053017375609491574,0.01767245853649719
45,16,avg_a12b14_covalent_radius,0.8600034449035807,0.03765802144078448,0.050703332165643315,0.016901110721881104
46,40,max_b_val_electrons,0.855845365766888,0.045779091599783224,0.0616376644023937,0.020545888134131236
47,95,avg_a12x18_mendeleev_number,0.8600485886312947,0.03407470001546188,0.04587869376104494,0.015292897920348311
