iteration,eliminated_feature_index,eliminated_feature,avg_cv_F1_score,ci_bound_be,std_dev_be,std_err_be
1,80,delta_a12x914_avg_atomic_mass,0.7513418311568174,0.04891361183922295,0.03805645178155943,0.019028225890779713
2,40,avg_a12b14_val_electrons,0.79056884864045,0.04037707877027386,0.03141473903730362,0.01570736951865181
3,22,delta_a12b58_avg_atomic_radius,0.8175517092301237,0.05062948555607779,0.039391459827650355,0.019695729913825177
4,52,std_ion_energies,0.820324957320539,0.07835238067200773,0.060960814073917714,0.030480407036958857
5,10,max_diff_vdw_radius,0.8263814101432082,0.07988949916120767,0.06215674447993762,0.031078372239968805
6,93,delta_bx1418bx58914_avg_mendeleev_number,0.8396915028455127,0.08143015054441816,0.06335542359752278,0.03167771179876138
7,43,std_unp_electrons,0.8473551098804671,0.09381556963234612,0.07299170042499215,0.03649585021249607
8,14,delta_b14b58_avg_covalent_radius,0.839486022894331,0.0904672370667156,0.07038658393407779,0.035193291967038895
9,89,std_mendeleev_number,0.8468737286704495,0.06681209785441411,0.051982081977075545,0.025991040988537772
10,1,min_vdw_radius,0.8571765082646419,0.08035488533182378,0.06251883073151256,0.03125941536575628
11,17,delta_a12b14_avg_covalent_radius,0.8513482544442065,0.06312628381790376,0.04911439343636199,0.024557196718180994
12,88,avg_mendeleev_number,0.8366425099133876,0.06329769484913515,0.04924775704210687,0.024623878521053435
13,15,delta_a12x18_avg_covalent_radius,0.8329014815949355,0.05583483553896628,0.04344139895872647,0.021720699479363236
14,79,delta_a1a2_density,0.8304860169325992,0.058670111307626296,0.04564733983122018,0.022823669915610086
15,86,avg_a12b14_metallic_radius,0.8367670642764263,0.058338677399287414,0.04538947299053518,0.02269473649526759
16,102,delta_a12b58_avg_lattice_constant,0.834720866543208,0.053949203091131596,0.04197431285262091,0.020987156426310456
17,16,delta_a12x914_avg_covalent_radius,0.84047591414668,0.05835260718440942,0.04540031083660481,0.022700155418302406
18,26,avg_a12b14_atomic_volume,0.8355279135232007,0.07261495848541703,0.056496904691962196,0.028248452345981098
19,95,avg_lattice_constant,0.8417423741529116,0.07443225340291028,0.05791082187779137,0.028955410938895684
20,51,max_diff_unp_electrons,0.8356008840130441,0.06929090740629495,0.0539106800224805,0.026955340011240253
21,75,avg_a12b58_electron_affinity,0.8373466004279957,0.07130581887630905,0.05547834959991322,0.027739174799956606
22,84,delta_a12b58_avg_melting_point,0.8278602254229994,0.07784900668065717,0.06056917200722899,0.030284586003614493
23,8,avg_a12b14_vdw_radius,0.8295307817207347,0.0660978371208936,0.051426362860400386,0.025713181430200193
24,91,delta_b14x18_avg_mendeleev_number,0.8328672242679034,0.0695148250518088,0.05408489555797495,0.027042447778987476
25,99,delta_a12x18_avg_lattice_constant,0.8403368216780194,0.06382160967011775,0.04965538057209492,0.024827690286047456
26,34,avg_a12x914_dipole_polarizability,0.8346916469937258,0.058952275542791845,0.04586687319230899,0.022933436596154495
27,20,avg_a12b58_covalent_radius,0.836519930588922,0.07781786298056863,0.06054494115049702,0.03027247057524851
28,58,avg_a12b58_ion_energies,0.8301392395565284,0.07604701460814496,0.059167160954687534,0.029583580477343767
29,35,avg_a12b14_dipole_polarizability,0.8256704210541402,0.0698787627315494,0.05436805143708005,0.027184025718540027
30,68,delta_a12x914_avg_electronegativity,0.821865252875341,0.07617640812117568,0.05926783350378667,0.029633916751893332
31,94,delta_a1a2_mendeleev_number,0.83367692060616,0.07757576366453169,0.06035657965763912,0.03017828982881956
32,107,delta_a12b14_avg_heat_of_formation,0.831994413698746,0.06536642291508667,0.050857297759521476,0.025428648879760738
33,81,std_melting_point,0.8238621301016062,0.09264474612659462,0.07208075996044812,0.03604037998022406
34,108,delta_a12b58_avg_heat_of_formation,0.8360925780412746,0.07008117892132457,0.05452553810952833,0.027262769054764165
