iteration,eliminated_feature_index,eliminated_feature,avg_cv_F1_score,ci_bound_be,std_dev_be,std_err_be
1,149,delta_a12x18_avg_heat_of_formation,0.8145863323693312,0.039036644661886895,0.052559531414473754,0.017519843804824586
2,3,delta_a12x18_avg_vdw_radius,0.8402739121482059,0.04111091208298782,0.05535235658235548,0.018450785527451826
3,50,delta_bx1418bx58914_avg_dipole_polarizability,0.824888529894882,0.041165363482821564,0.05542567077431312,0.018475223591437707
4,68,max_unp_electrons,0.8588837611095277,0.01699261733540244,0.022879118130924053,0.007626372710308017
5,127,max_mendeleev_number,0.8666879551980846,0.022178401589737544,0.029861336832997167,0.009953778944332388
6,114,std_melting_point,0.8560171466921501,0.026183022515459238,0.035253219285282564,0.011751073095094187
7,71,delta_a12b14_avg_unp_electrons,0.8552525799882241,0.04021662471372155,0.054148274482430314,0.01804942482747677
8,136,avg_lattice_constant,0.8495898258536281,0.0237529398445346,0.03198131905952022,0.010660439686506741
9,117,delta_a1a2_melting_point,0.8627000112992297,0.032979416015898384,0.04440398674456219,0.014801328914854063
10,153,avg_a12x914_heat_of_formation,0.8651909001935699,0.02240896459187919,0.030171770361776113,0.010057256787258703
11,126,std_mendeleev_number,0.8647958102382892,0.019522326408976613,0.02628515685873038,0.008761718952910126
12,61,delta_a12b14_avg_val_electrons,0.8650147583082445,0.02616486781526039,0.03522877552113002,0.011742925173710006
13,21,avg_a12x18_covalent_radius,0.8541941492604167,0.03337252906703567,0.04493328012875673,0.014977760042918908
14,145,max_diff_lattice_constant,0.8598219942253245,0.028441458503832864,0.03829401181001499,0.01276467060333833
15,87,delta_a12x914_avg_no_electrons,0.8469726235800012,0.028912179680568494,0.03892779795353182,0.012975932651177274
16,82,avg_a12b14_ion_energies,0.850065221225921,0.04006426550423523,0.05394313572814852,0.01798104524271617
17,62,delta_a12b58_avg_val_electrons,0.8455334533734437,0.034776972592430434,0.04682424422754648,0.01560808140918216
18,27,avg_b1b4_atomic_radius,0.8487886632593536,0.03604768484858868,0.048535150513800994,0.01617838350460033
19,152,avg_a12x18_heat_of_formation,0.8549690371063088,0.03944440393436783,0.05310854469358966,0.01770284823119655
20,24,avg_a12b58_covalent_radius,0.8533357650339319,0.036600738481039535,0.049279790326481165,0.01642659677549372
21,130,delta_a12b14_avg_mendeleev_number,0.8503824437050171,0.0370305210634863,0.049858456124711494,0.01661948537490383
22,124,avg_a12b14_proton_affinity,0.8552468986657453,0.041388567204401414,0.05572619565594204,0.01857539855198068
23,116,delta_a12b58_avg_melting_point,0.859764515788509,0.04562737812243625,0.061433395071674245,0.020477798357224748
24,60,delta_a12x18_avg_val_electrons,0.8512579435734573,0.04742658928904154,0.06385588031986954,0.021285293439956512
25,10,max_diff_vdw_radius,0.8600569338707675,0.044560192434051925,0.059996520048230535,0.01999884001607684
26,109,delta_a12x18_avg_density,0.8628234858093915,0.03615930007015508,0.04868543094376787,0.016228476981255957
27,67,std_unp_electrons,0.8617833664702624,0.040013191122651164,0.05387436840486565,0.01795812280162188
28,107,max_density,0.8613747335184779,0.04340900653592277,0.058446545866261634,0.019482181955420542
29,81,delta_a1a2_ion_energies,0.8605804875878693,0.039208933412375024,0.05279150360552846,0.017597167868509483
30,121,delta_a12b58_avg_metallic_radius,0.8641961466987558,0.04518099351301454,0.06083237605210813,0.020277458684036045
31,29,delta_b14b58_avg_atomic_radius,0.8586230613439904,0.044127002190710626,0.05941326612360288,0.019804422041200958
32,108,avg_a1a2_density,0.8591702512034726,0.04865039059883945,0.06550362499527701,0.021834541665092334
33,110,delta_a12x914_avg_density,0.8631990249216731,0.03424852506690914,0.04611273445105036,0.015370911483683452
34,36,avg_b1b4_atomic_volume,0.8576568554689556,0.04099100987865273,0.05519091843289363,0.018396972810964543
35,77,std_ion_energies,0.8569396327285697,0.04686945709262161,0.06310574906670018,0.021035249688900057
36,146,std_heat_of_formation,0.8636753053278833,0.04321088453284008,0.058179791391456834,0.01939326379715228
37,43,max_diff_atomic_volume,0.8597572171199557,0.0457683498068743,0.06162320148923264,0.020541067163077548
38,54,avg_a12b14_dipole_polarizability,0.8572784651256399,0.053634234141062484,0.07221394765469463,0.02407131588489821
39,111,delta_a1a2_density,0.8650877133894055,0.051960027235358856,0.06995977004243246,0.023319923347477487
40,133,delta_a1a2_mendeleev_number,0.86029240240787,0.05017483612894009,0.06755616161626397,0.022518720538754658
41,23,avg_a12b14_covalent_radius,0.8650877133894055,0.051960027235358856,0.06995977004243246,0.023319923347477487
