iteration,eliminated_feature_index,eliminated_feature,avg_cv_F1_score,ci_bound_be,std_dev_be,std_err_be
1,96,avg_a12x18_lattice_constant,0.7825384188167119,0.04542337130617949,0.03534092607087572,0.01767046303543786
2,27,std_mendeleev_number,0.8214232571280251,0.034734129614656425,0.02702433288303264,0.013512166441516319
3,190,delta_b14x914_avg_melting_point,0.8323215236813757,0.061564953485358245,0.04789962539365617,0.023949812696828086
4,180,avg_a12b58_lattice_constant,0.8137317275669733,0.04995757079588812,0.03886868731687102,0.01943434365843551
5,75,avg_a12b58_ion_energies,0.8072128895851959,0.05080161788042995,0.039525384623948126,0.01976269231197406
6,98,avg_a12x18_vdw_radius,0.8290151711773497,0.05044854552951413,0.03925068233980285,0.019625341169901424
7,178,delta_a12x914_avg_vdw_radius,0.8260850042352228,0.040398018097852595,0.03143103054554386,0.01571551527277193
8,137,std_electron_affinity,0.7976374430368933,0.05338355028425912,0.041534215751621625,0.020767107875810813
9,191,delta_b14x18_avg_dipole_polarizability,0.801090103026864,0.0508942955885487,0.0395974910294583,0.01979874551472915
10,33,std_val_electrons,0.8098964404767173,0.03294783706935114,0.025634536596027355,0.012817268298013678
11,71,delta_a12b14_avg_ion_energies,0.8143974139734909,0.05001943834296854,0.03891682237036183,0.019458411185180914
12,164,avg_a12x914_boiling_point,0.8121786824836217,0.03739675300460507,0.029095944339269004,0.014547972169634502
13,127,avg_a12b14_heat_of_formation,0.8135951315238241,0.04317155917903816,0.03358893973383392,0.016794469866916958
14,152,avg_a12x18_electron_affinity,0.8104582311393456,0.024396112483753698,0.01898100433570889,0.009490502167854445
15,163,avg_a12b58_density,0.8097468730096626,0.04028112771607259,0.03134008585733395,0.015670042928666972
16,102,delta_a12b14_avg_mendeleev_number,0.8185381161308026,0.03095944872534541,0.024087502911714773,0.012043751455857385
17,77,avg_b14x18_mendeleev_number,0.8106199320696359,0.06114006923352128,0.04756905101088668,0.02378452550544334
18,189,avg_a12b58_electronegativity,0.8196978351143194,0.052618053539510795,0.04093863327754036,0.02046931663877018
19,9,delta_a1a2_vdw_radius,0.8258268550928755,0.049496645191256974,0.03851007153717378,0.01925503576858689
20,156,delta_a12x18_avg_electronegativity,0.8119845892729188,0.05294903764566915,0.041196150156847515,0.020598075078423754
21,14,avg_a1a2_heat_of_formation,0.813539424844825,0.048705522673940654,0.0378945513414353,0.01894727567071765
22,138,max_diff_melting_point,0.8160184332585569,0.06367068423173057,0.04953795545355181,0.0247689777267759
23,110,avg_a12b58_dipole_polarizability,0.8205137459646386,0.05052394411253279,0.03930934499895137,0.019654672499475685
24,165,avg_a12x914_lattice_constant,0.8100964532543479,0.07655024839511401,0.059558693937604205,0.0297793469688021
25,84,delta_a12b58_avg_specific_heat,0.8136747312321951,0.05313614753978527,0.04134172801126334,0.02067086400563167
26,111,delta_a12b58_avg_dipole_polarizability,0.8114012914375224,0.06174456187909118,0.04803936682592104,0.02401968341296052
27,29,delta_a1a2_dipole_polarizability,0.8169803654564225,0.05133029754681556,0.039936715365538576,0.019968357682769285
28,85,delta_a12b14_avg_atomic_volume,0.8222745060286704,0.05085999594440578,0.039570804741033305,0.019785402370516653
29,151,delta_a12b14_avg_density,0.8137111660576727,0.06253357540110195,0.04865324615166168,0.024326623075830837
30,124,avg_a12b14_vdw_radius,0.8126624479086277,0.04828569614573484,0.037567912039479845,0.01878395601973992
31,45,avg_a12b14_lattice_constant,0.8080519480519481,0.06684885018388381,0.05201067653801129,0.026005338269005644
32,131,std_melting_point,0.8106543123860923,0.06056077518080542,0.047118340557179256,0.023559170278589628
33,136,delta_a12x914_avg_specific_heat,0.8049942654451581,0.06791078783975328,0.05283690011210466,0.02641845005605233
34,121,avg_a12x914_electron_affinity,0.8005030435354528,0.0801603686216865,0.0623674901225962,0.031183745061298097
35,80,avg_a12b14_mendeleev_number,0.8133843394440416,0.07967676032202985,0.06199122643555667,0.03099561321777834
36,118,avg_a12b58_heat_of_formation,0.808695906740974,0.07529113730270609,0.05857906273119582,0.029289531365597914
37,44,delta_a12b14_avg_electron_affinity,0.8074837855288527,0.07429076568328036,0.05780073962507453,0.028900369812537265
38,135,delta_a12b58_avg_lattice_constant,0.8118180090288215,0.08558985159354666,0.06659181233369295,0.03329590616684647
39,167,avg_a12x914_atomic_volume,0.8095215385045254,0.06749110547829268,0.052510372976774834,0.026255186488387417
40,119,delta_a12x18_avg_density,0.8130435405313321,0.07859587350765582,0.06115025977237596,0.030575129886187977
41,130,delta_a12x914_avg_dipole_polarizability,0.809770995538365,0.07671844765827698,0.059689558678676605,0.0298447793393383
42,149,delta_a12b58_avg_electron_affinity,0.8048533257498314,0.07451074702379917,0.05797189258155247,0.02898594629077623
43,179,avg_a12b58_no_electrons,0.8061277667798521,0.06586822519727338,0.05124771698308415,0.025623858491542074
44,62,delta_a12x18_avg_boiling_point,0.8104893132793297,0.06729679926965859,0.05235919614517944,0.02617959807258972
45,55,delta_a12b58_avg_boiling_point,0.8066822139223374,0.07324600951893723,0.056987883835105474,0.028493941917552737
46,126,delta_a12b14_avg_heat_of_formation,0.8038771568740966,0.07546188291910103,0.05871190862159144,0.029355954310795716
47,101,avg_a12x18_melting_point,0.8009546096099147,0.07063983021059449,0.05496018779196618,0.02748009389598309
48,59,avg_a12b14_val_electrons,0.8021711249477514,0.07142661197425089,0.05557233073388629,0.027786165366943144
49,81,avg_a12x18_dipole_polarizability,0.8051499217575466,0.07335382927271872,0.057071771266570814,0.028535885633285404
50,175,std_heat_of_formation,0.8065239904388655,0.06625744038455036,0.05155053962182006,0.025775269810910027
51,91,delta_a12b58_avg_ion_energies,0.8007883752580691,0.07150948098420326,0.05563680563898641,0.027818402819493205
52,181,avg_b14x18_boiling_point,0.8051499217575466,0.07335382927271872,0.057071771266570814,0.028535885633285404
53,170,max_diff_density,0.8078987292601741,0.07384938885536707,0.057457333457805765,0.02872866672890288
54,146,delta_a12b14_avg_vdw_radius,0.8005900954837125,0.0693990680869934,0.05399483270666975,0.026997416353334875
55,88,avg_a12x914_melting_point,0.7980733965048159,0.07533740389920185,0.05861505971511158,0.029307529857555793
56,16,delta_a1a2_density,0.8007904275115052,0.07542434044369885,0.05868269930027615,0.02934134965013807
57,107,avg_a12b58_melting_point,0.7961873017641679,0.0739569555552407,0.05754102400473365,0.02877051200236682
58,177,avg_a12b58_vdw_radius,0.7934858318568654,0.07285429579516335,0.056683117250090745,0.028341558625045372
59,188,avg_a12b58_atomic_volume,0.7963708752214642,0.07432699638400163,0.05782892834112238,0.02891446417056119
60,109,delta_a12x18_avg_atomic_volume,0.7972513891924524,0.06041390585587936,0.04700407123270961,0.0235020356163548
61,49,delta_a12x18_avg_melting_point,0.7995811615517388,0.06076994733336188,0.04728108359819564,0.023640541799097817
62,117,delta_a12x914_avg_heat_of_formation,0.8000622406074654,0.06368777342999495,0.049551251430382776,0.024775625715191388
63,72,delta_a12x914_avg_no_electrons,0.7905909447534878,0.062254898023892474,0.04843642568452374,0.02421821284226187
64,0,delta_a1a2_mendeleev_number,0.7960820824287909,0.07869478391701941,0.061227215431201826,0.03061360771560091
65,99,avg_unp_electrons,0.7986648999261174,0.07253462054288232,0.05643439904330244,0.028217199521651217
66,160,delta_a12x914_avg_atomic_volume,0.7984811080571849,0.06967063847133508,0.05420612369190653,0.02710306184595326
67,173,avg_a12b14_density,0.7984811080571849,0.06967063847133508,0.05420612369190653,0.02710306184595326
68,174,delta_a12b14_avg_lattice_constant,0.7940528944807499,0.07597969346906092,0.05911478282133985,0.029557391410669924
69,114,delta_a12b58_avg_heat_of_formation,0.7915759475316373,0.07584845105294191,0.059012671762824175,0.029506335881412084
70,63,delta_a12x18_avg_ion_energies,0.7965622325665122,0.07474977019177173,0.05815786072670851,0.029078930363354252
71,150,delta_a12b58_avg_density,0.7997452610625233,0.08463190683718178,0.06584649876842552,0.032923249384212754
72,52,max_diff_lattice_constant,0.7941581718430347,0.06484595822621275,0.05045235854952736,0.025226179274763675
73,89,delta_a12x18_avg_heat_of_formation,0.7941480165847592,0.06483859598840339,0.05044663047839008,0.025223315239195035
74,161,delta_a12b58_avg_no_electrons,0.7983265121937665,0.06770147614826777,0.05267404850506085,0.02633702425253042
75,183,avg_b14x18_dipole_polarizability,0.796924562679515,0.06780032423390227,0.05275095567390811,0.026375477836954053
76,122,delta_a12b14_avg_atomic_mass,0.796924562679515,0.06780032423390227,0.05275095567390811,0.026375477836954053
77,68,avg_a12b58_boiling_point,0.7939649374053881,0.06642926427354534,0.05168422444493127,0.025842112222465633
78,159,avg_a12x914_specific_heat,0.7964062035967662,0.09185111014372085,0.07146328420311451,0.03573164210155726
79,36,delta_b14x18_avg_mendeleev_number,0.8016758612574012,0.08735011069462134,0.06796135371663743,0.033980676858318716
80,94,delta_a12b58_avg_melting_point,0.8095116816287206,0.08281577085139546,0.06443348327083741,0.0322167416354187
81,83,avg_a12b58_unp_electrons,0.8124587689057048,0.0847438294821106,0.06593357838859339,0.03296678919429669
82,132,avg_a12b14_electron_affinity,0.8150415864030313,0.07816756703273514,0.06081702278378215,0.030408511391891078
83,145,avg_a12b14_dipole_polarizability,0.8068881182053804,0.08950650608237072,0.0696391025887838,0.0348195512943919
84,113,delta_a12x18_avg_specific_heat,0.8074251616760428,0.06579406206000933,0.05119001554270523,0.025595007771352613
85,5,delta_a1a2_electronegativity,0.8051499217575466,0.07335382927271872,0.057071771266570814,0.028535885633285404
86,6,min_lattice_constant,0.8078987292601741,0.07384938885536707,0.057457333457805765,0.02872866672890288
87,125,avg_a12b14_melting_point,0.8078987292601741,0.07384938885536707,0.057457333457805765,0.02872866672890288
88,148,delta_a12b58_avg_mendeleev_number,0.8064050056194475,0.081465747328502,0.06338311910489028,0.03169155955244514
89,82,delta_a12b14_avg_melting_point,0.8075933105409623,0.07777689818700204,0.06051306914938142,0.030256534574690706
