iteration,eliminated_feature_index,eliminated_feature,avg_cv_F1_score,ci_bound_be,std_dev_be,std_err_be
1,10,max_diff_vdw_radius,0.7614226537959329,0.047202067594031075,0.0635535808987911,0.021184526966263696
2,26,avg_a1a2_atomic_radius,0.8161835961681412,0.05266662785928437,0.07091114785710823,0.02363704928570274
3,118,delta_b14x18_avg_electron_affinity,0.8172135716521971,0.05480006366170188,0.07378363823247609,0.024594546077492032
4,96,max_diff_ion_energies,0.8581810510301594,0.029758152773528036,0.04006682897785084,0.013355609659283615
5,57,delta_a12b14_avg_dipole_polarizability,0.8563878305603968,0.03262539750861665,0.04392733084813608,0.014642443616045359
6,161,avg_b1b8_mendeleev_number,0.8717637152664125,0.030581566867767185,0.041175486223578146,0.01372516207452605
7,169,avg_b14x914_mendeleev_number,0.8654233024774488,0.03828158997461757,0.051542914312801495,0.017180971437600497
8,185,max_heat_of_formation,0.8724906535902447,0.043289638048280725,0.05828582632106349,0.019428608773687826
9,36,avg_a12b58_atomic_radius,0.8690037826053214,0.03901448627777653,0.0525296970294791,0.017509899009826364
10,89,std_ion_energies,0.8781035230811742,0.04118488412363898,0.05545195366166577,0.01848398455388859
11,105,delta_a12x18_avg_electronegativity,0.8721823224324836,0.03718137486820181,0.050061567979139875,0.016687189326379956
12,28,avg_b1b8_atomic_radius,0.8691823670452805,0.03989734912904224,0.05371839698480792,0.017906132328269306
13,62,avg_a12x914_dipole_polarizability,0.87349529045481,0.04780814521262753,0.06436961301195401,0.021456537670651338
14,160,avg_b1b4_mendeleev_number,0.8709258212225002,0.04594954504911005,0.06186716551608307,0.020622388505361022
15,54,delta_b18x114_avg_dipole_polarizability,0.8712752970744351,0.043103480978591444,0.05803518161434992,0.01934506053811664
16,175,min_lattice_constant,0.8717590113765201,0.050759001503849134,0.06834269075163704,0.02278089691721235
17,130,avg_a1a2_density,0.8706398283834371,0.043484468751401814,0.058548149339598794,0.019516049779866266
18,88,max_diff_unp_electrons,0.873753086569159,0.04077338974643935,0.054897911380813194,0.018299303793604397
19,76,avg_a12b58_val_electrons,0.8765730782081759,0.039250020465099865,0.05284682383750853,0.017615607945836175
20,29,delta_b14b58_avg_atomic_radius,0.8765730782081759,0.039250020465099865,0.05284682383750853,0.017615607945836175
21,67,std_val_electrons,0.869003628665245,0.0404203359726582,0.054422554416228425,0.01814085147207614
22,20,delta_a1a2_covalent_radius,0.8682023278229044,0.04676455496813116,0.0629645072526212,0.02098816908420707
23,33,delta_a12b58_avg_atomic_radius,0.8734598200224539,0.04217439514031902,0.056784246327099185,0.01892808210903306
24,31,delta_a12x914_avg_atomic_radius,0.8670492398952769,0.04292939725845388,0.05780079264889019,0.019266930882963395
25,116,avg_b14x18_electron_affinity,0.8693475521667388,0.0386628731760397,0.05205627980762138,0.017352093269207124
26,195,avg_a12x914_heat_of_formation,0.872116886850967,0.037563195848722614,0.05057565754790811,0.016858552515969367
27,149,delta_a12b14_avg_metallic_radius,0.8707735511249846,0.04292623798590248,0.05779653895633156,0.01926551298544385
28,74,avg_a12x18_val_electrons,0.8719948107309723,0.0398331876214221,0.05363200895621146,0.017877336318737152
29,184,std_heat_of_formation,0.8734829059690675,0.039355597753623926,0.052988974702699386,0.017662991567566462
30,136,avg_b1b4_boiling_point,0.8734829059690675,0.039355597753623926,0.052988974702699386,0.017662991567566462
31,144,delta_a12b14_avg_melting_point,0.8735428858092128,0.041886525728596746,0.056396654577866315,0.01879888485928877
32,110,delta_a1a2_electronegativity,0.8735428858092128,0.041886525728596746,0.056396654577866315,0.01879888485928877
33,111,avg_electron_affinity,0.8789220459107584,0.03698726907113602,0.04980022098513012,0.016600073661710037
34,102,delta_a1a2_no_electrons,0.8766344795895821,0.041173289336346224,0.05543634226390769,0.018478780754635896
35,58,delta_a12b58_avg_dipole_polarizability,0.8734829059690675,0.039355597753623926,0.052988974702699386,0.017662991567566462
36,2,avg_a1a2_vdw_radius,0.8701301362897672,0.035733536155583216,0.048112175941015606,0.016037391980338534
37,126,avg_a12x914_electron_affinity,0.8684249975473401,0.033774419541012214,0.04547439156840798,0.01515813052280266
38,174,avg_lattice_constant,0.8641697079666472,0.04643254137514551,0.06251747910710032,0.020839159702366772
39,19,delta_a12b58_avg_covalent_radius,0.8765730782081759,0.039250020465099865,0.05284682383750853,0.017615607945836175
40,192,delta_a12b58_avg_heat_of_formation,0.8732203085288756,0.03577732463918951,0.0481711334205744,0.016057044473524802
41,12,min_covalent_radius,0.8646369944253035,0.04101439902246626,0.05522240993145025,0.018407469977150082
42,86,avg_a12b14_unp_electrons,0.8626310228145899,0.035735036423481296,0.04811419592450554,0.016038065308168512
43,153,avg_a12b58_metallic_radius,0.8648713468449312,0.04294339652026293,0.05781964146766561,0.019273213822555202
44,145,delta_a12b58_avg_melting_point,0.8619441819252099,0.0382980994186005,0.051565142878990305,0.017188380959663435
45,193,delta_a1a2_heat_of_formation,0.8610742323990731,0.04255294135016931,0.05729392669488658,0.01909797556496219
46,90,min_ion_energies,0.8660225106334034,0.043297321959940974,0.058296172056456236,0.019432057352152077
47,93,delta_a1a2_ion_energies,0.8604096132590018,0.04370383711036845,0.058843510230738756,0.019614503410246252
48,148,delta_a12x914_avg_metallic_radius,0.8674370596434773,0.045276958092242796,0.06096158421946758,0.020320528073155857
49,114,avg_a1a2_electron_affinity,0.8600381621596742,0.04804383395177597,0.06468694791090872,0.021562315970302903
50,154,max_proton_affinity,0.8610095645566276,0.04421530697035991,0.059532161020442106,0.019844053673480702
51,68,max_val_electrons,0.8612842247460033,0.03520395218164806,0.04739913603311024,0.015799712011036745
52,7,delta_a1a2_vdw_radius,0.8633102010433105,0.04024853569053754,0.054191239906404474,0.018063746635468156
53,104,avg_a1a2_electronegativity,0.8596990425353477,0.04808007203712782,0.06473573941955266,0.02157857980651755
54,181,delta_a12b58_avg_lattice_constant,0.8587044745165746,0.041899463917894765,0.05641407475249315,0.018804691584164382
55,17,delta_a12x914_avg_covalent_radius,0.8571434477235276,0.04360040077727026,0.05870424198045852,0.019568080660152837
56,48,max_diff_atomic_volume,0.8611415838375829,0.04681812924423997,0.06303664047187041,0.021012213490623467
57,40,delta_a12x914_avg_atomic_volume,0.863253175949175,0.04404386786610469,0.05930133280598316,0.01976711093532772
58,139,max_diff_boiling_point,0.8574825673478541,0.041955963809211495,0.05649014706450401,0.018830049021501333
59,140,std_melting_point,0.8629456187869022,0.03573061901518373,0.04810824825886476,0.01603608275295492
60,38,avg_b1b4_atomic_volume,0.8585920840599416,0.04559124211087538,0.06138474099673318,0.020461580332244392
61,80,max_unp_electrons,0.8651748754845154,0.04408822719494422,0.05936105888023623,0.01978701962674541
62,92,delta_a12b58_avg_ion_energies,0.8621619920008483,0.04595860614235291,0.061879365509680685,0.020626455169893563
63,87,avg_a12b58_unp_electrons,0.8616104516707935,0.04296549610762749,0.05784939668782848,0.01928313222927616
64,24,avg_a12b58_covalent_radius,0.853256100616939,0.04230729159651969,0.05696318013468055,0.01898772671156018
65,119,delta_a12x18_avg_electron_affinity,0.8644943535168832,0.04997161884261469,0.06728254677469406,0.02242751559156468
66,188,avg_b1b4_heat_of_formation,0.8604096132590018,0.04370383711036845,0.058843510230738756,0.019614503410246252
67,1,min_vdw_radius,0.8691697079666472,0.039642236576128885,0.05337490956791505,0.01779163652263835
68,51,min_b_dipole_polarizability,0.8525862341485123,0.046851525722362626,0.06308160599737149,0.021027201999123828
69,45,avg_a12x914_atomic_volume,0.8649578319801836,0.04212424431946447,0.056716722500013195,0.018905574166671064
70,134,avg_a1a2_specific_heat,0.856125182917053,0.04472493006720192,0.06021832530018515,0.020072775100061717
71,146,delta_a1a2_melting_point,0.8563462728560474,0.04459518314897497,0.06004363207837918,0.020014544026126388
72,158,std_mendeleev_number,0.8531234259755978,0.04702000841377623,0.0633084536526669,0.021102817884222292
73,71,delta_a12b14_avg_val_electrons,0.8601630037100666,0.043620532140665004,0.05873134715396733,0.019577115717989108
74,101,delta_a12b58_avg_no_electrons,0.8600015637586094,0.038252229274531466,0.05150338262016006,0.01716779420672002
75,79,std_unp_electrons,0.8586985099283815,0.03821059123129864,0.05144732052618942,0.017149106842063142
76,70,delta_a12x18_avg_val_electrons,0.8555453724014004,0.03538633299976502,0.047644696337338296,0.01588156544577943
77,41,delta_a12b14_avg_atomic_volume,0.859938477491091,0.04729392888978443,0.06367726434294317,0.021225754780981054
78,49,std_dipole_polarizability,0.8555980166254704,0.035996944052861364,0.048466832335583465,0.01615561077852782
79,171,avg_a12b14_mendeleev_number,0.8611415838375829,0.04681812924423997,0.06303664047187041,0.021012213490623467
80,194,avg_a12x18_heat_of_formation,0.8563462728560474,0.04459518314897497,0.06004363207837918,0.020014544026126388
81,123,delta_bx1418bx58914_avg_electron_affinity,0.8586896104058397,0.03602422516547038,0.048503564040052814,0.016167854680017604
82,131,delta_a12x18_avg_density,0.8574371362698227,0.04530492209317849,0.060999235375154344,0.020333078458384782
83,187,avg_a1a2_heat_of_formation,0.8615937657325745,0.052830226202617105,0.07113141915194489,0.023710473050648294
84,143,delta_a12x914_avg_melting_point,0.8540572771633052,0.03550441762864263,0.04780368727559172,0.01593456242519724
85,165,delta_a12b14_avg_mendeleev_number,0.8589670719567666,0.04504016613333452,0.06064276392866821,0.0202142546428894
86,135,delta_a1a2_specific_heat,0.8623963638202016,0.045447107759610424,0.06119067631651204,0.02039689210550401
87,162,avg_b14x18_mendeleev_number,0.8596990425353477,0.04808007203712782,0.06473573941955266,0.02157857980651755
88,177,delta_b14b58_avg_lattice_constant,0.8597628252829859,0.0446014303309111,0.0600520433790447,0.020017347793014895
89,0,max_vdw_radius,0.8582409960532742,0.04975015854834071,0.06698436927007578,0.022328123090025256
90,197,avg_a12b58_heat_of_formation,0.8657550068476638,0.040977345691830064,0.05517252076417033,0.01839084025472344
91,173,max_diff_mendeleev_number,0.860220028804202,0.03801135003395239,0.051179059151225455,0.017059686383741817
92,16,delta_a12x18_avg_covalent_radius,0.8588540096861015,0.037751427810247686,0.05082909592051097,0.016943031973503657
93,35,avg_a12b14_atomic_radius,0.8634997854981101,0.04411684604565616,0.05939959173561017,0.019799863911870056
94,141,avg_a1a2_melting_point,0.8608236327033053,0.054030566922925315,0.07274757613325195,0.024249192044417313
95,190,delta_a12x914_avg_heat_of_formation,0.8616050623008833,0.0383528469408148,0.0516388557746198,0.017212951924873265
96,97,min_no_electrons,0.8588540096861015,0.037751427810247686,0.05082909592051097,0.016943031973503657
97,163,delta_b14x18_avg_mendeleev_number,0.8618662381998143,0.04235406357615786,0.05702615463862169,0.019008718212873896
98,152,avg_a12b14_metallic_radius,0.8596990425353477,0.04808007203712782,0.06473573941955266,0.02157857980651755
