iteration,eliminated_feature_index,eliminated_feature,avg_cv_F1_score,ci_bound_be,std_dev_be,std_err_be
1,133,avg_a12x18_mendeleev_number,0.8321493985455056,0.03553892020657965,0.047850142070686656,0.01595004735689555
2,192,delta_b14x914_avg_atomic_radius,0.8500427460811364,0.04402801169209014,0.059279983812404194,0.01975999460413473
3,110,avg_a12b58_dipole_polarizability,0.8282813114367616,0.04790041616994528,0.06449384803065994,0.021497949343553313
4,89,delta_a12x18_avg_heat_of_formation,0.8549765729806318,0.04604582856230031,0.06199680310097417,0.020665601033658054
5,175,std_heat_of_formation,0.848406501010406,0.04995366508863542,0.06725837356758431,0.022419457855861434
6,158,avg_a12x914_density,0.8555172338759179,0.047653279438320505,0.06416109938071808,0.021387033126906027
7,113,delta_a12x18_avg_specific_heat,0.8442537478131978,0.04541846048695734,0.06115210519340475,0.020384035064468252
8,184,min_heat_of_formation,0.841665873601357,0.039677526929550976,0.05342242503589089,0.01780747501196363
9,111,delta_a12b58_avg_dipole_polarizability,0.8515248170358177,0.04222813145584624,0.05685659771868302,0.018952199239561006
10,31,delta_a1a2_boiling_point,0.8554671640666396,0.04120045752395837,0.0554729219244457,0.018490973974815233
11,191,delta_b14x18_avg_dipole_polarizability,0.8608174815241721,0.038775512412876564,0.052207938987305164,0.017402646329101722
12,137,std_electron_affinity,0.8431110828431393,0.041495997687308606,0.05587084169020394,0.018623613896734646
13,17,delta_a1a2_ion_energies,0.8542156401887976,0.038209893766845325,0.05144638144945366,0.017148793816484553
14,9,delta_a1a2_vdw_radius,0.8511240464084283,0.0379838309164468,0.05114200699334761,0.0170473356644492
15,159,avg_a12x914_specific_heat,0.8470302416259863,0.04136988915258777,0.05570104724322462,0.018567015747741538
16,91,delta_a12b58_avg_ion_energies,0.8456412379771081,0.04864288014182995,0.06549351280186112,0.021831170933953706
17,146,delta_a12b14_avg_vdw_radius,0.8465445612554843,0.04055200391795071,0.05459983413805959,0.018199944712686527
18,64,delta_a12b14_avg_boiling_point,0.8492090990980332,0.04220725394484487,0.056828487920701234,0.01894282930690041
19,60,min_ion_energies,0.8527703914216251,0.04866354008614609,0.06552132966475267,0.02184044322158422
20,131,std_melting_point,0.8496214834931191,0.0449507315810971,0.060522347888852905,0.020174115962950965
21,79,avg_b14x914_mendeleev_number,0.8453496927876036,0.04883532821375718,0.0657526278095603,0.021917542603186763
22,101,avg_a12x18_melting_point,0.8456927453382116,0.04568393072678525,0.06150953835731256,0.020503179452437518
23,173,avg_a12b14_density,0.8486866714800969,0.044863583830778174,0.060405010833881556,0.02013500361129385
24,157,avg_a12b58_specific_heat,0.845314882689196,0.04661650188872169,0.0627651663372933,0.020921722112431096
25,35,avg_b1b4_mendeleev_number,0.8441353702040667,0.05139281786442037,0.06919607072839967,0.023065356909466553
26,182,avg_b14x18_vdw_radius,0.8489468114726236,0.05600972789919414,0.07541234853896192,0.025137449512987305
27,74,max_dipole_polarizability,0.8458012442595633,0.04554697654815431,0.06132514117060648,0.020441713723535496
28,53,avg_a1a2_covalent_radius,0.8470494118985963,0.046599297483084196,0.06274200206417496,0.020914000688058317
