1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
190.0,211.5,21.5,21.5,4.500000000000028,5.5,13.00000000000006,208.5,215.1666666666667,116.0,133.0,17.00000000000001,17.00000000000001,18.0,7.0,28.0,145.0,137.6666666666667,35.00000000000001,142.5,2.938714967417259,7.39,9.095,3.410000000000001,16.82762898397223,98.0,83.0,54.1,54.09999999999999,35.0,30.0,30.0,39.71999999999999,42.425,59.66666666666666,63.0,69.1,5.5,0.816496580927726,7.0,5.0,5.454545454545454,6.0,5.666666666666667,1.0,2.0,0.4666666666666668,2.0,5.333333333333333,4.666666666666667,3.0,2.416666666666667,0.8620067027323833,5.0,5.0,2.0,3.0,3.666666666666667,3.0,6.75885,7.096434,2.655958,2.655958,0.189082,0.2474829999999999,0.6751680000000002,25.0,33.0,0.3532819832969439,1.575,0.3249999999999997,0.3849999999999998,0.05000000000000004,1.55935425,0.5825960440038513,0.942362,0.458703,1.0272145,0.483659,0.6533639999999998,0.917406,1.7082766,1.63017825,0.7811423333333334,0.8942789999999999,117.0,126.0,9.0,9.0,16.0,94.375,13.57022629386359,7.5,45.5,38.5,91.1,88.625,81.83333333333333,77.16666666666667,1.037948614522361
190.0,201.0,11.0,11.0,1.0,5.0,7.999999999999972,201.6666666666667,204.3333333333333,110.0,114.5,1.499999999999986,1.499999999999986,29.5,25.5,8.999999999999986,134.1666666666667,131.5,33.99999999999999,137.5,2.941538683476538,6.6,6.994999999999999,0.79,10.33971577086248,68.0,58.5,29.6,29.6,11.5,15.5,19.0,34.81999999999999,36.3,50.83333333333334,48.16666666666666,39.1,5.708333333333333,1.206895696496687,10.0,5.0,5.454545454545454,8.5,5.333333333333333,4.5,3.5,0.2666666666666666,3.0,5.5,6.166666666666667,6.0,2.291666666666667,0.6757197808427856,5.0,3.5,1.5,0.5,2.5,3.166666666666667,7.4166796,7.5369475,2.2154445,2.2154445,0.1202679,1.071441500000001,0.2058590000000002,25.0,26.5,0.3429366640584753,1.73,0.07000000000000006,0.3199999999999998,0.3599999999999999,1.46068136,0.7123670449808029,0.35674316,0.578,0.70137158,0.22125684,0.4680000000000001,1.156,1.732136,1.6600025,0.43049544,0.8900000000000001,115.0,116.5,0.5,0.5,3.0,95.16666666666667,11.0967963344782,7.5,30.0,35.0,93.0,91.0,81.0,84.33333333333333,0.9324317632167812
205.0,211.5,5.5,5.5,5.5,5.5,13.00000000000006,207.8333333333333,207.8333333333333,119.0,127.5,8.5,8.5,12.5,12.5,17.0,135.8333333333333,135.8333333333333,21.0,147.5,2.914837015407361,7.39,10.245,5.71,6.15934249737746,68.0,57.0,19.0,19.0,14.0,14.0,22.0,41.8,42.75,47.66666666666666,47.66666666666666,30.0,5.958333333333333,1.368672308804737,12.0,5.0,5.636363636363637,9.5,5.666666666666667,4.5,4.5,0.06666666666666732,5.0,6.5,6.5,7.0,2.375,0.8569568250501305,5.0,2.5,0.5,0.5,2.833333333333333,2.833333333333333,7.434018,8.21392,0.7957400000000003,0.7957399999999986,0.3944690000000008,0.3944690000000008,1.559804,25.0,36.5,0.1312652107588129,1.62,0.4299999999999997,0.4299999999999997,0.1399999999999999,1.498344333333333,0.6209200536869102,1.046,0.0,1.046,1.046,1.046,0.0,1.5767008,1.478157,0.6973333333333334,0.6973333333333334,118.0,128.0,9.0,9.0,20.0,97.04166666666667,10.17136162085599,6.0,29.5,29.5,94.9,93.125,86.16666666666667,86.16666666666667,0.9444434538393499
190.0,211.5,5.5,21.5,5.5,4.500000000000028,13.00000000000006,215.1666666666667,208.5,116.0,133.0,3.0,17.00000000000001,7.0,18.0,28.0,137.6666666666667,145.0,35.00000000000001,142.5,3.434051881726438,7.39,9.095,3.410000000000001,15.18356887852421,98.0,83.0,45.0,54.09999999999999,30.0,35.0,30.0,47.0,42.425,63.0,59.66666666666666,69.1,5.5,0.816496580927726,7.0,5.0,5.454545454545454,6.0,5.333333333333333,2.0,1.0,0.2666666666666666,2.0,4.666666666666667,5.333333333333333,3.0,2.416666666666667,0.8620067027323833,5.0,5.0,3.0,2.0,3.0,3.666666666666667,6.75885,7.096434,1.913226,2.655958,0.2474829999999999,0.189082,0.6751680000000002,25.0,33.0,0.2888479872220373,1.575,0.3849999999999998,0.3249999999999997,0.05000000000000004,1.54275625,0.5697853104985574,0.942362,0.458703,1.0272145,0.6533639999999998,0.483659,0.917406,1.6684414,1.63017825,0.8942789999999999,0.7811423333333334,117.0,126.0,11.0,9.0,16.0,94.70833333333333,13.74008480889239,8.07142857142857,38.5,45.5,91.9,88.625,77.16666666666667,81.83333333333333,1.025652146874801
205.0,211.0,5.0,5.0,6.0,5.0,12.00000000000003,215.0,207.6666666666667,119.0,128.5,7.5,7.5,11.5,11.5,19.0,136.1666666666667,136.1666666666667,21.0,142.5,3.425147578937293,7.39,8.395,2.010000000000001,11.63261399399694,87.0,77.5,39.5,39.5,24.5,34.5,19.0,45.9,47.875,61.16666666666666,54.5,49.0,5.541666666666667,0.8154327412825386,7.0,5.0,5.454545454545454,6.5,5.333333333333333,2.5,1.5,0.2666666666666666,1.0,4.833333333333333,5.5,3.0,2.458333333333333,0.9991315673568165,6.0,5.5,3.5,2.5,3.166666666666667,3.833333333333333,7.09243,7.263224,1.746436,1.746435999999998,0.08069300000000013,1.345165000000001,0.3415879999999998,25.0,33.5,0.1171530041820904,1.855,0.105,0.1949999999999998,0.6100000000000001,1.540522166666667,0.5517648143845396,1.046,0.374,1.0790335,0.7380669999999999,0.672,0.748,1.6515008,1.571657,0.8660446666666665,0.8220000000000001,118.0,124.0,13.0,13.0,12.0,94.95833333333333,13.28996854356281,9.0,36.5,42.5,92.3,89.875,77.83333333333333,81.83333333333333,1.033900046211216
205.0,205.5,0.5,0.5,1.499999999999972,11.5,1.000000000000028,206.5,213.1666666666667,119.0,120.5,15.5,15.5,30.5,19.5,3.0,140.8333333333333,133.5,32.0,140.0,3.843202783992654,7.23,7.31,0.1599999999999993,11.08482132868586,83.0,75.5,37.5,37.5,27.5,22.5,15.0,45.5,47.375,57.16666666666666,60.5,45.0,5.541666666666667,0.8154327412825386,7.0,5.0,5.454545454545454,6.5,5.666666666666667,1.5,2.5,0.4666666666666668,1.0,5.5,4.833333333333333,3.0,2.458333333333333,0.9991315673568165,6.0,5.5,2.5,3.5,3.833333333333333,3.166666666666667,6.76651,7.100264,1.909396,1.909395999999998,0.1852520000000002,0.2436530000000001,0.6675079999999998,24.0,24.5,0.1449706627409683,1.605,0.2949999999999999,0.355,0.1099999999999999,1.5198325,0.5732242011946547,0.942362,0.333,1.0272145,0.6093620000000001,0.779067,0.6659999999999999,1.6433008,1.561407,0.7392413333333333,0.8523779999999999,118.0,118.5,18.5,18.5,1.0,95.08333333333333,13.44407139060023,8.5,44.0,37.0,92.2,89.75,82.33333333333333,77.66666666666667,1.045745265216258
205.0,205.0,1.000000000000028,1.000000000000028,1.000000000000028,1.000000000000028,0.0,205.6666666666667,205.6666666666667,119.0,119.0,17.0,17.0,21.0,21.0,0.0,133.0,133.0,21.0,140.0,3.546775824604651,7.39,7.39,0.0,8.122328620674136,68.0,68.0,30.0,30.0,25.0,25.0,0.0,44.0,45.5,51.33333333333334,51.33333333333334,30.0,5.75,0.5951190357119042,7.0,5.0,5.636363636363637,7.0,5.666666666666667,2.0,2.0,0.06666666666666732,0.0,5.666666666666667,5.666666666666667,2.0,2.583333333333333,0.8620067027323833,5.0,5.0,2.0,2.0,3.666666666666667,3.666666666666667,7.434018,7.434018,1.575642,1.575641999999998,1.174371000000001,1.174371000000001,0.0,25.0,25.0,0.148779758927976,1.55,0.4999999999999998,0.4999999999999998,0.0,1.498344333333333,0.6209200536869102,1.046,0.0,1.046,1.046,1.046,0.0,1.5767008,1.478157,0.6973333333333334,0.6973333333333334,118.0,118.0,19.0,19.0,0.0,96.08333333333333,12.69158732739482,6.0,41.0,41.0,92.6,90.25,82.33333333333333,82.33333333333333,1.221433583949615
190.0,210.5,20.5,20.5,3.500000000000028,3.500000000000028,11.00000000000003,208.1666666666667,208.1666666666667,116.0,123.5,7.500000000000014,7.500000000000014,27.5,27.5,9.0,141.8333333333333,141.8333333333333,35.00000000000001,137.5,3.608012471299892,7.39,7.945,1.11,13.71910670885276,79.0,73.5,44.6,44.59999999999999,25.5,25.5,11.0,37.81999999999999,40.05,56.5,56.5,50.1,5.75,0.5951190357119042,7.0,5.0,5.636363636363637,7.0,5.666666666666667,2.0,2.0,0.06666666666666732,0.0,5.666666666666667,5.666666666666667,2.0,2.583333333333333,0.8620067027323833,5.0,5.0,2.0,2.0,3.666666666666667,3.666666666666667,7.119381,7.276699499999999,2.475692500000001,2.475692500000001,0.008816500000000893,0.008816500000000893,0.3146370000000003,25.0,34.0,0.3378791594474108,1.825,0.07499999999999973,0.07499999999999973,0.55,1.5157615,0.626816706321779,0.942362,0.275,0.942362,0.667362,0.667362,0.55,1.671536,1.5842525,0.7199080000000001,0.7199080000000001,117.0,122.5,5.5,5.5,9.0,95.875,12.31297587912849,4.0,41.5,41.5,91.9,89.625,83.16666666666667,83.16666666666667,0.9756848556270615
190.0,203.0,12.99999999999997,12.99999999999997,4.0,4.0,4.0,205.6666666666666,205.6666666666666,116.0,118.5,2.500000000000014,2.500000000000014,32.5,32.5,1.0,140.1666666666667,140.1666666666667,35.00000000000001,137.5,3.538206716803491,7.39,8.295,1.81,10.89366539139707,68.0,53.335,24.435,24.435,5.335000000000001,5.335000000000001,29.33,33.78699999999999,35.00875,49.77833333333334,49.77833333333334,39.1,5.958333333333333,1.368672308804737,12.0,5.0,5.636363636363637,9.5,5.666666666666667,4.5,4.5,0.06666666666666732,5.0,6.5,6.5,7.0,2.375,0.8569568250501305,5.0,2.5,0.5,0.5,2.833333333333333,2.833333333333333,7.285516,8.414108500000001,1.338283499999999,1.338283499999999,1.128592500000001,1.128592500000001,1.960181,25.0,27.5,0.3587933094260383,1.6,0.2999999999999998,0.2999999999999998,0.09999999999999987,1.492844833333334,0.6702553581506372,0.942362,0.0,0.942362,0.942362,0.942362,0.0,1.616536,1.5155025,0.6282413333333333,0.6282413333333333,117.0,119.5,2.5,2.5,3.0,96.75,9.971835337589566,4.0,31.0,31.0,94.0,92.25,86.66666666666667,86.66666666666667,0.9821870967669835
205.0,207.5,1.5,1.5,9.5,1.5,5.000000000000028,213.8333333333333,206.5,119.0,119.5,16.5,16.5,20.5,20.5,1.0,133.1666666666667,133.1666666666667,21.0,140.0,3.481140233657485,7.39,8.145,1.510000000000001,8.264756457727932,68.0,47.07,9.07,9.07,5.93,4.07,41.86,39.814,40.2675,51.02333333333333,44.35666666666666,41.86,5.791666666666667,1.526956850150724,12.0,5.0,5.454545454545454,9.5,5.333333333333333,5.5,4.5,0.2666666666666666,5.0,5.833333333333333,6.5,8.0,2.208333333333333,0.8154327412825386,5.0,2.5,0.5,0.5,2.166666666666667,2.833333333333333,7.343917,7.885439,1.124221,1.124220999999999,0.5415219999999996,0.7229500000000009,0.9028419999999997,25.0,35.5,0.1190055729320644,1.875,0.08499999999999996,0.1749999999999998,0.6500000000000001,1.532772166666666,0.5640123593292428,1.046,0.281,1.0790335,0.8310669999999999,0.765,0.562,1.6329008,1.548407,0.8350446666666665,0.791,118.0,123.0,14.0,14.0,10.0,95.625,11.38278122135945,9.0,28.5,34.5,93.9,91.875,80.5,84.5,0.9939232029353845
