split_ratio,avg_train_R2_score,avg_test_R2_score,avg_train_MAE_score,avg_test_MAE_score,std_train_R2_score,std_test_R2_score,std_train_MAE_score,std_test_MAE_score
0.05,0.8377494229287142,-0.024705797652093273,0.018562699346405198,0.047122717690500075,0.041613943885027156,0.28530861585310985,0.00981684817773878,0.011540197608703864
0.1,0.85351773614353,0.02852407306463105,0.014263477124182983,0.041176284501061484,0.059927454765292376,0.32030118321040285,0.006132450631172964,0.007324403954404875
0.2,0.878553425630206,0.33997257807064707,0.012250007821486055,0.030984402628434826,0.033660160033290684,0.14239533381109348,0.0025562348956133466,0.003014672909575346
0.25,0.8902130872073416,0.3530613903872076,0.011362988140850185,0.03019362403454351,0.031157161626217525,0.14217333312432395,0.0024451540531188758,0.003022725728434495
0.3,0.8968479463115158,0.45180096495826033,0.011310737250712227,0.027823097389192412,0.027380602745206737,0.09693939154320999,0.0019406932155984038,0.002516645164975511
0.4,0.9199558708146786,0.5459897195998351,0.009872677005062593,0.023932851922736083,0.019501285058095796,0.07066795802990827,0.0013764691745497303,0.0026575118431820927
0.5,0.9366284338977481,0.5623090468770435,0.00835947644590401,0.023413857261448602,0.01521374574873931,0.08513977100287333,0.001156802866308133,0.0030343324228903844
0.6,0.9377571879863121,0.6469159516515943,0.008135036637667872,0.02105333184429323,0.012083528852838817,0.05915790387006214,0.0008314572379323605,0.0029271629940391705
0.7,0.9444013901901686,0.68694339195679,0.00762326189169768,0.01922687735953637,0.011318663063478942,0.0642638661266691,0.000707403815966752,0.003282669471893846
0.8,0.9484793738995615,0.7052019058975504,0.006984630685927433,0.018667676613756578,0.0098076998787866,0.13063350853454547,0.0005049537551988611,0.004516377375057136
